"id","gender","age","citizenship","previous_offences","kpp","kpw","counts"
"OIO-1012369084P","M",43,"POLAND","No cirminal history","KA KPP Pszczyna","KA KWP Katowice",1
"OIO-101242140A","M",66,"POLAND","No cirminal history","KA KMP Katowice","KA KWP Katowice",1
"OIO-1012448E","M",50,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1012461W","M",62,"POLAND","No cirminal history","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-1012834J","M",55,"POLAND","Simmilar offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1012834J","M",55,"POLAND","Simmilar offences","SC KPP Goleniów","SC KWP Szczecin",2
"OIO-101291158L","M",34,"POLAND","Simmilar offences","BG KMP Toruń","BG KWP Bydgoszcz",1
"OIO-1013037Y","M",46,"POLAND","Simmilar offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1013205T","M",53,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1013234W","M",54,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1013271Y","M",67,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-101371114Q","M",36,"POLAND","Simmilar offences","BK KMP Białystok","BK KWP Białystok",1
"OIO-1014244D","M",45,"POLAND","Simmilar offences","SC KPP Myślibórz","SC KWP Szczecin",1
"OIO-10148140D","M",42,"POLAND","Simmilar offences","WA KMP Siedlce","WA KWP Radom",1
"OIO-10148468W","M",53,"POLAND","No cirminal history","RZ KPP Nisko","RZ KWP Rzeszów",1
"OIO-10148626T","M",40,"POLAND","No knowledge","PO KPP Koło","PO KWP Poznań",1
"OIO-10149488E","M",44,"POLAND","No knowledge","KK KPP Olkusz","KK KWP Kraków",1
"OIO-10149736D","M",43,"POLAND","No cirminal history","GO KPP Żagań","GO KWP Gorzów Wlkp.",1
"OIO-10150176X","M",37,"POLAND","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-101506276G","M",36,"POLAND","No knowledge","WA KPP Przasnysz","WA KWP Radom",1
"OIO-1015108F","M",69,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-10151583R","M",39,"POLAND","No cirminal history","WR KPP Świdnica","WR KWP Wrocław",1
"OIO-101519218J","M",39,"POLAND","No cirminal history","LU KPP Łęczna","LU KWP Lublin",1
"OIO-101527125D","M",41,"POLAND","No cirminal history","PO KPP Czarnków","PO KWP Poznań",1
"OIO-101529167G","M",31,"POLAND","No knowledge","GD KPP Starogard Gd.","GD KWP Gdańsk",1
"OIO-1015468D","M",63,"POLAND","No knowledge","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-101573112U","M",34,"POLAND","No knowledge","WA KPP Maków Maz.","WA KWP Radom",1
"OIO-101573117E","M",53,"POLAND","No cirminal history","LD KPP Wieruszów","LD KWP Łódź",1
"OIO-101581099H","M",73,"POLAND","No cirminal history","KK KPP Wadowice","KK KWP Kraków",1
"OIO-101587107J","M",41,"POLAND","No cirminal history","GD KMP Słupsk","GD KWP Gdańsk",1
"OIO-1016045R","M",48,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-101640148Y","M",55,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-101696176P","M",30,"POLAND","Different offences","OL KPP Ełk","OL KWP Olsztyn",1
"OIO-1016965E","M",68,"POLAND","No knowledge","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-1017015A","M",54,"POLAND","Simmilar offences","SC KPP Łobez","SC KWP Szczecin",1
"OIO-1017369858A","M",43,"POLAND","No knowledge","WA KPP Przysucha","WA KWP Radom",1
"OIO-1017375156F","M",27,"POLAND","No knowledge","LU KMP Chełm","LU KWP Lublin",2
"OIO-1017375341J","M",26,"POLAND","No knowledge","SC KPP Drawsko Pomorskie","SC KWP Szczecin",1
"OIO-1017379450X","M",43,"POLAND","No knowledge","LU KMP Lublin","LU KWP Lublin",1
"OIO-1017382058D","K",60,"POLAND","No knowledge","KA KMP Rybnik","KA KWP Katowice",1
"OIO-1017382818L","M",35,"POLAND","No cirminal history","BG KPP Aleksandrów Kujawski","BG KWP Bydgoszcz",1
"OIO-1017385407X","M",27,"POLAND","Different offences","LD KPP Tomaszów Maz.","LD KWP Łódź",1
"OIO-1017392622W","M",32,"POLAND","No knowledge","LD KPP Zgierz","LD KWP Łódź",2
"OIO-1017397003Y","M",30,"POLAND","Simmilar offences","BK KMP Białystok","BK KWP Białystok",1
"OIO-1017397425K","M",33,"POLAND","No knowledge","KK KPP Olkusz","KK KWP Kraków",1
"OIO-1017399878D","M",26,"POLAND","No cirminal history","KA KMP Katowice","KA KWP Katowice",1
"OIO-1017404604T","M",31,"POLAND","No cirminal history","WR KMP Wałbrzych","WR KWP Wrocław",1
"OIO-1017516R","M",59,"POLAND","No cirminal history","SC KPP Pyrzyce","SC KWP Szczecin",1
"OIO-101752129T","M",33,"POLAND","No knowledge","LD KPP Łódź Wschód","LD KWP Łódź",1
"OIO-101752247Q","M",39,"POLAND","No cirminal history","PO KPP Koło","PO KWP Poznań",1
"OIO-1017725N","M",48,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-101787095G","M",39,"POLAND","No knowledge","SC KPP Drawsko Pomorskie","SC KWP Szczecin",1
"OIO-101790111C","M",31,"POLAND","Simmilar offences","LD KPP Sieradz","LD KWP Łódź",1
"OIO-101790111C","M",31,"POLAND","Simmilar offences","LD KPP Zduńska Wola","LD KWP Łódź",1
"OIO-101797109W","M",43,"POLAND","Simmilar offences","GD KPP Puck","GD KWP Gdańsk",1
"OIO-101816093T","M",29,"POLAND","Different offences","WA KMP Radom","WA KWP Radom",1
"OIO-101818093D","K",44,"POLAND","No cirminal history","RZ KMP Tarnobrzeg","RZ KWP Rzeszów",1
"OIO-1018304G","M",49,"POLAND","Simmilar offences","SC KPP Stargard","SC KWP Szczecin",1
"OIO-101849149T","M",34,"POLAND","Different offences","LD KPP Tomaszów Maz.","LD KWP Łódź",1
"OIO-101870112R","K",29,"POLAND","No knowledge","OL KPP Iława","OL KWP Olsztyn",1
"OIO-101880141D","M",28,"POLAND","No knowledge","BG KPP Aleksandrów Kujawski","BG KWP Bydgoszcz",1
"OIO-1018820C","M",64,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1019119M","M",57,"POLAND","Simmilar offences","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-101966205Q","K",55,"POLAND","No cirminal history","GO KMP Gorzów Wlkp.","GO KWP Gorzów Wlkp.",1
"OIO-10198144J","M",40,"POLAND","No knowledge","KA KMP Mysłowice","KA KWP Katowice",1
"OIO-1019829C","M",45,"POLAND","Simmilar offences","SC KPP Stargard","SC KWP Szczecin",1
"OIO-10198307N","M",39,"POLAND","No knowledge","GO KPP Wschowa","GO KWP Gorzów Wlkp.",1
"OIO-10198425T","M",38,"POLAND","No knowledge","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-10198443X","K",59,"POLAND","No cirminal history","GD KPP Człuchów","GD KWP Gdańsk",1
"OIO-10198555C","M",51,"POLAND","Simmilar offences","WA KPP Wyszków","WA KWP Radom",1
"OIO-10198790X","M",35,"POLAND","Simmilar offences","WA KPP Warszawa Zach. z/s Stare Babice (KSP)","WA KSP Warszawa",1
"OIO-10199013E","M",43,"POLAND","No knowledge","KA KMP Gliwice","KA KWP Katowice",1
"OIO-10199256R","M",39,"POLAND","No cirminal history","PO KMP Poznań","PO KWP Poznań",1
"OIO-10199408J","M",38,"POLAND","No knowledge","LD KPP Sieradz","LD KWP Łódź",1
"OIO-10199601Y","M",39,"POLAND","Simmilar offences","WR KPP Lubań","WR KWP Wrocław",1
"OIO-10199688X","M",46,"POLAND","No cirminal history","WA KPP Ostrów Maz.","WA KWP Radom",1
"OIO-102021243P","M",40,"POLAND","No cirminal history","PO KMP Poznań","PO KWP Poznań",1
"OIO-1020341Q","M",63,"POLAND","No knowledge","SC KPP Pyrzyce","SC KWP Szczecin",1
"OIO-1020607N","M",69,"","No knowledge","PO KMP Konin","PO KWP Poznań",1
"OIO-10206575G","M",42,"POLAND","No cirminal history","KA KMP Bielsko-Biała","KA KWP Katowice",1
"OIO-10207843E","M",61,"POLAND","No cirminal history","PO KPP Jarocin","PO KWP Poznań",1
"OIO-10208344K","M",62,"POLAND","Simmilar offences","GO KPP Sulęcin","GO KWP Gorzów Wlkp.",1
"OIO-10208696D","M",44,"POLAND","No cirminal history","PO KMP Poznań","PO KWP Poznań",1
"OIO-10209979Y","M",56,"POLAND","No knowledge","GD KPP Pruszcz Gd.","GD KWP Gdańsk",1
"OIO-10210351J","M",41,"POLAND","No knowledge","KA KMP Gliwice","KA KWP Katowice",1
"OIO-10211579U","M",57,"POLAND","No cirminal history","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-10211669R","M",38,"POLAND","Simmilar offences","RZ KPP Nisko","RZ KWP Rzeszów",1
"OIO-1021232R","M",52,"POLAND","No knowledge","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-10212337L","M",36,"POLAND","No cirminal history","OL KPP Mrągowo","OL KWP Olsztyn",1
"OIO-10213186G","M",50,"POLAND","No cirminal history","WA KPP Ciechanów","WA KWP Radom",1
"OIO-10214244K","M",61,"POLAND","No cirminal history","GD KPP Starogard Gd.","GD KWP Gdańsk",1
"OIO-10215264C","M",37,"POLAND","Different offences","LD KMP Łódź","LD KWP Łódź",1
"OIO-10215265P","M",61,"POLAND","No knowledge","LD KPP Tomaszów Maz.","LD KWP Łódź",1
"OIO-10215323F","M",50,"UKRAINE","No cirminal history","BG KPP Inowrocław","BG KWP Bydgoszcz",1
"OIO-10215381J","M",40,"POLAND","No knowledge","PO KPP Kępno","PO KWP Poznań",1
"OIO-10215684W","M",51,"POLAND","No cirminal history","KI KPP Staszów","KI KWP Kielce",1
"OIO-102177223Y","K",45,"POLAND","No cirminal history","WR KPP Oleśnica","WR KWP Wrocław",1
"OIO-102177294W","M",32,"POLAND","Simmilar offences","GD KPP Wejherowo","GD KWP Gdańsk",1
"OIO-102178095M","M",37,"POLAND","Simmilar offences","PO KPP Wągrowiec","PO KWP Poznań",1
"OIO-1021881J","M",73,"POLAND","Simmilar offences","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-102223096A","M",62,"POLAND","No knowledge","GO KPP Świebodzin","GO KWP Gorzów Wlkp.",1
"OIO-1022652E","M",54,"POLAND","No cirminal history","SC KPP Kamień Pomorski","SC KWP Szczecin",1
"OIO-1022666M","M",42,"POLAND","Simmilar offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1023225P","M",52,"POLAND","No knowledge","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-1023229R","M",46,"POLAND","Different offences","SC KPP Pyrzyce","SC KWP Szczecin",1
"OIO-102362127L","M",36,"POLAND","Different offences","KA KPP Będzin","KA KWP Katowice",1
"OIO-1023710G","M",47,"POLAND","No knowledge","SC KPP Stargard","SC KWP Szczecin",1
"OIO-1023774W","M",58,"POLAND","No cirminal history","SC KPP Gryfino","SC KWP Szczecin",1
"OIO-102379199C","M",41,"POLAND","No cirminal history","BG KMP Toruń","BG KWP Bydgoszcz",1
"OIO-102384222P","M",34,"POLAND","No knowledge","WA KRP Warszawa V (KSP)","WA KSP Warszawa",1
"OIO-102386093M","M",34,"POLAND","No cirminal history","SC KPP Stargard","SC KWP Szczecin",1
"OIO-1023867Q","M",57,"POLAND","No knowledge","PO KPP Piła","PO KWP Poznań",1
"OIO-102392266A","M",29,"POLAND","No knowledge","OL KPP Mrągowo","OL KWP Olsztyn",1
"OIO-102394193F","M",41,"POLAND","Different offences","WA KPP Ostrów Maz.","WA KWP Radom",1
"OIO-102420108P","K",51,"POLAND","No cirminal history","WR KPP Kłodzko","WR KWP Wrocław",1
"OIO-1024541L","M",55,"POLAND","No cirminal history","SC KPP Kamień Pomorski","SC KWP Szczecin",1
"OIO-102465124W","M",52,"POLAND","No cirminal history","OL KPP Szczytno","OL KWP Olsztyn",1
"OIO-1025210E","M",49,"POLAND","No knowledge","PO KMP Poznań","PO KWP Poznań",1
"OIO-1026121M","M",48,"POLAND","No cirminal history","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-102614104J","M",48,"POLAND","No cirminal history","GD KPP Wejherowo","GD KWP Gdańsk",1
"OIO-1026160C","M",46,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1026876X","M",68,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-102693100A","M",32,"POLAND","No cirminal history","BK KMP Suwałki","BK KWP Białystok",1
"OIO-10269688Y","M",43,"POLAND","No cirminal history","PO KPP Gniezno","PO KWP Poznań",1
"OIO-10269831F","M",60,"POLAND","No cirminal history","OL KPP Iława","OL KWP Olsztyn",1
"OIO-10270314X","M",65,"POLAND","Simmilar offences","KA KMP Gliwice","KA KWP Katowice",1
"OIO-102704100L","M",35,"POLAND","No knowledge","SC KPP Drawsko Pomorskie","SC KWP Szczecin",1
"OIO-10270477M","M",40,"POLAND","No cirminal history","KA KPP Będzin","KA KWP Katowice",1
"OIO-10270687K","M",67,"POLAND","No cirminal history","GO KMP Zielona Góra","GO KWP Gorzów Wlkp.",1
"OIO-10270687K","M",67,"POLAND","No knowledge","GO KPP Świebodzin","GO KWP Gorzów Wlkp.",1
"OIO-10272775X","M",38,"POLAND","Different offences","LU KPP Krasnystaw","LU KWP Lublin",1
"OIO-1027344U","M",73,"POLAND","No cirminal history","SC KPP Stargard","SC KWP Szczecin",1
"OIO-10273606E","M",37,"POLAND","Different offences","GD KMP Gdańsk","GD KWP Gdańsk",1
"OIO-10274303Q","M",44,"POLAND","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-102748093L","M",49,"POLAND","No cirminal history","RZ KPP Łańcut","RZ KWP Rzeszów",1
"OIO-10274878T","M",35,"POLAND","No knowledge","WR KPP Świdnica","WR KWP Wrocław",1
"OIO-10274878T","M",35,"POLAND","Simmilar offences","WR KPP Jawor","WR KWP Wrocław",1
"OIO-10275139T","M",65,"POLAND","Simmilar offences","LD KPP Kutno","LD KWP Łódź",1
"OIO-10275201A","M",42,"POLAND","No cirminal history","RZ KPP Nisko","RZ KWP Rzeszów",1
"OIO-102755097A","M",31,"POLAND","Simmilar offences","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-10275625G","M",40,"POLAND","No cirminal history","KA KMP Piekary Śląskie","KA KWP Katowice",1
"OIO-10275899Q","M",35,"POLAND","No knowledge","KA KMP Chorzów","KA KWP Katowice",1
"OIO-102762094W","M",43,"POLAND","No cirminal history","WR KMP Wałbrzych","WR KWP Wrocław",1
"OIO-10276696N","M",39,"POLAND","No cirminal history","WA KPP Wołomin (KSP)","WA KSP Warszawa",1
"OIO-10276798T","M",40,"POLAND","Simmilar offences","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-102780094J","M",39,"POLAND","No knowledge","OL KPP Działdowo","OL KWP Olsztyn",1
"OIO-102780164N","M",35,"POLAND","Simmilar offences","RZ KMP Rzeszów","RZ KWP Rzeszów",1
"OIO-102794111K","M",35,"POLAND","No cirminal history","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-102814106J","M",53,"POLAND","No cirminal history","GO KPP Żagań","GO KWP Gorzów Wlkp.",1
"OIO-102851107L","M",38,"POLAND","Simmilar offences","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-1028536Q","M",65,"POLAND","No knowledge","SC KPP Kołobrzeg","SC KWP Szczecin",1
"OIO-102858166H","M",66,"POLAND","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-102859097N","M",38,"POLAND","Different offences","PO KPP Września","PO KWP Poznań",1
"OIO-1028764T","M",50,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-102895099T","M",31,"POLAND","Simmilar offences","KI KPP Jędrzejów","KI KWP Kielce",1
"OIO-102895129Y","M",45,"POLAND","No cirminal history","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-1028982M","M",60,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1029269F","M",64,"POLAND","No cirminal history","GO KPP Nowa Sól","GO KWP Gorzów Wlkp.",1
"OIO-102953110J","M",32,"POLAND","No cirminal history","RZ KMP Krosno","RZ KWP Rzeszów",1
"OIO-102973099A","M",37,"POLAND","Simmilar offences","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-103021095H","M",34,"POLAND","No knowledge","OL KMP Olsztyn","OL KWP Olsztyn",1
"OIO-103029093Q","M",52,"POLAND","No knowledge","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-1030316D","M",60,"POLAND","Different offences","SC KPP Gryfino","SC KWP Szczecin",1
"OIO-1030720N","M",68,"POLAND","No cirminal history","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-103097112W","M",33,"POLAND","Simmilar offences","RZ KPP Sanok","RZ KWP Rzeszów",1
"OIO-10310077J","M",37,"POLAND","No cirminal history","WA KPP Wyszków","WA KWP Radom",1
"OIO-10310136P","M",38,"POLAND","No cirminal history","SC KPP Szczecinek","SC KWP Szczecin",1
"OIO-103125125G","M",43,"POLAND","Different offences","WA KPP Gostynin","WA KWP Radom",1
"OIO-10312750X","M",39,"POLAND","No knowledge","KK KPP Kraków Okolice","KK KWP Kraków",1
